fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	DE_PO_09_01	DE_PO_09_01	DE_PO_09_01	DE_PO_09_01	DE_PO_09_01
NA	DE_PO_09_02	DE_PO_09_02	DE_PO_09_02	DE_PO_09_02	DE_PO_09_02
NA	DE_PO_09_03	DE_PO_09_03	DE_PO_09_03	DE_PO_09_03	DE_PO_09_03
NA	DE_PO_09_04	DE_PO_09_04	DE_PO_09_04	DE_PO_09_04	DE_PO_09_04
NA	DE_PO_09_05	DE_PO_09_05	DE_PO_09_05	DE_PO_09_05	DE_PO_09_05
NA	DE_PO_09_06	DE_PO_09_06	DE_PO_09_06	DE_PO_09_06	DE_PO_09_06
NA	DE_PO_09_07	DE_PO_09_07	DE_PO_09_07	DE_PO_09_07	DE_PO_09_07
NA	DE_PO_09_09	DE_PO_09_09	DE_PO_09_09	DE_PO_09_09	DE_PO_09_09
NA	DE_PO_09_10	DE_PO_09_10	DE_PO_09_10	DE_PO_09_10	DE_PO_09_10
NA	DE_PO_09_11	DE_PO_09_11	DE_PO_09_11	DE_PO_09_11	DE_PO_09_11
NA	DE_PO_09_12	DE_PO_09_12	DE_PO_09_12	DE_PO_09_12	DE_PO_09_12
NA	DE_PO_09_13	DE_PO_09_13	DE_PO_09_13	DE_PO_09_13	DE_PO_09_13
NA	DE_PO_09_14	DE_PO_09_14	DE_PO_09_14	DE_PO_09_14	DE_PO_09_14
NA	DE_PO_09_15	DE_PO_09_15	DE_PO_09_15	DE_PO_09_15	DE_PO_09_15
NA	DE_PO_09_16	DE_PO_09_16	DE_PO_09_16	DE_PO_09_16	DE_PO_09_16
NA	DE_PO_09_17	DE_PO_09_17	DE_PO_09_17	DE_PO_09_17	DE_PO_09_17
NA	DE_PO_09_18	DE_PO_09_18	DE_PO_09_18	DE_PO_09_18	DE_PO_09_18
NA	DE_PO_09_19	DE_PO_09_19	DE_PO_09_19	DE_PO_09_19	DE_PO_09_19
NA	DE_PO_09_20	DE_PO_09_20	DE_PO_09_20	DE_PO_09_20	DE_PO_09_20
NA	DE_PO_09_21	DE_PO_09_21	DE_PO_09_21	DE_PO_09_21	DE_PO_09_21
NA	DE_PO_09_22	DE_PO_09_22	DE_PO_09_22	DE_PO_09_22	DE_PO_09_22
NA	DE_PO_09_23	DE_PO_09_23	DE_PO_09_23	DE_PO_09_23	DE_PO_09_23
NA	DE_PO_09_24	DE_PO_09_24	DE_PO_09_24	DE_PO_09_24	DE_PO_09_24
NA	DE_PO_09_25	DE_PO_09_25	DE_PO_09_25	DE_PO_09_25	DE_PO_09_25
NA	DE_PO_10_01	DE_PO_10_01	DE_PO_10_01	DE_PO_10_01	DE_PO_10_01
NA	DE_PO_10_02	DE_PO_10_02	DE_PO_10_02	DE_PO_10_02	DE_PO_10_02
NA	DE_PO_10_03	DE_PO_10_03	DE_PO_10_03	DE_PO_10_03	DE_PO_10_03
NA	DE_PO_10_04	DE_PO_10_04	DE_PO_10_04	DE_PO_10_04	DE_PO_10_04
NA	DE_PO_10_05	DE_PO_10_05	DE_PO_10_05	DE_PO_10_05	NA
NA	DE_PO_10_06	DE_PO_10_06	DE_PO_10_06	DE_PO_10_06	DE_PO_10_06
NA	DE_PO_10_07	DE_PO_10_07	DE_PO_10_07	DE_PO_10_07	DE_PO_10_07
NA	DE_PO_10_08	DE_PO_10_08	DE_PO_10_08	DE_PO_10_08	DE_PO_10_08
NA	DE_PO_10_09	DE_PO_10_09	DE_PO_10_09	DE_PO_10_09	DE_PO_10_09
NA	DE_PO_10_10	DE_PO_10_10	DE_PO_10_10	DE_PO_10_10	DE_PO_10_10
NA	DE_PO_10_11	DE_PO_10_11	DE_PO_10_11	DE_PO_10_11	DE_PO_10_11
NA	DE_PO_10_12	DE_PO_10_12	DE_PO_10_12	DE_PO_10_12	NA
NA	DE_PO_10_13	DE_PO_10_13	DE_PO_10_13	DE_PO_10_13	DE_PO_10_13
NA	DE_PO_10_14	DE_PO_10_14	DE_PO_10_14	DE_PO_10_14	DE_PO_10_14
NA	DE_PO_10_15	DE_PO_10_15	DE_PO_10_15	DE_PO_10_15	DE_PO_10_15
NA	DE_PO_10_16	DE_PO_10_16	DE_PO_10_16	DE_PO_10_16	NA
NA	DE_PO_10_17	DE_PO_10_17	DE_PO_10_17	DE_PO_10_17	NA
NA	DE_PO_10_18	DE_PO_10_18	NA	NA	NA
NA	DE_PO_10_19	DE_PO_10_19	DE_PO_10_19	DE_PO_10_19	DE_PO_10_19
NA	DE_PO_10_20	DE_PO_10_20	DE_PO_10_20	DE_PO_10_20	NA
NA	DE_PO_10_21	DE_PO_10_21	DE_PO_10_21	DE_PO_10_21	NA
NA	DE_PO_10_22	DE_PO_10_22	DE_PO_10_22	DE_PO_10_22	DE_PO_10_22
NA	DE_PO_10_23	DE_PO_10_23	DE_PO_10_23	DE_PO_10_23	DE_PO_10_23
NA	DE_PO_10_24	DE_PO_10_24	DE_PO_10_24	DE_PO_10_24	DE_PO_10_24
NA	DE_PO_10_25	DE_PO_10_25	DE_PO_10_25	DE_PO_10_25	DE_PO_10_25
NA	DE_PO_11_01	DE_PO_11_01	DE_PO_11_01	DE_PO_11_01	DE_PO_11_01
NA	DE_PO_11_02	DE_PO_11_02	DE_PO_11_02	DE_PO_11_02	DE_PO_11_02
NA	DE_PO_11_03	DE_PO_11_03	DE_PO_11_03	DE_PO_11_03	NA
NA	DE_PO_11_04	DE_PO_11_04	DE_PO_11_04	DE_PO_11_04	DE_PO_11_04
NA	DE_PO_11_05	DE_PO_11_05	DE_PO_11_05	DE_PO_11_05	NA
NA	DE_PO_11_06	DE_PO_11_06	DE_PO_11_06	DE_PO_11_06	DE_PO_11_06
NA	DE_PO_11_07	DE_PO_11_07	DE_PO_11_07	DE_PO_11_07	DE_PO_11_07
NA	DE_PO_11_08	DE_PO_11_08	DE_PO_11_08	DE_PO_11_08	DE_PO_11_08
NA	DE_PO_11_09	DE_PO_11_09	DE_PO_11_09	DE_PO_11_09	DE_PO_11_09
NA	DE_PO_11_10	DE_PO_11_10	DE_PO_11_10	DE_PO_11_10	DE_PO_11_10
NA	DE_PO_11_11	DE_PO_11_11	DE_PO_11_11	DE_PO_11_11	DE_PO_11_11
NA	DE_PO_11_12	DE_PO_11_12	DE_PO_11_12	DE_PO_11_12	DE_PO_11_12
NA	DE_PO_11_13	DE_PO_11_13	DE_PO_11_13	DE_PO_11_13	DE_PO_11_13
NA	DE_PO_11_14	DE_PO_11_14	DE_PO_11_14	DE_PO_11_14	DE_PO_11_14
NA	DE_PO_11_15	DE_PO_11_15	DE_PO_11_15	DE_PO_11_15	DE_PO_11_15
NA	DE_PO_11_16	DE_PO_11_16	DE_PO_11_16	DE_PO_11_16	DE_PO_11_16
NA	DE_PO_11_17	DE_PO_11_17	DE_PO_11_17	DE_PO_11_17	DE_PO_11_17
NA	DE_PO_11_18	DE_PO_11_18	DE_PO_11_18	DE_PO_11_18	DE_PO_11_18
NA	DE_PO_11_19	DE_PO_11_19	DE_PO_11_19	DE_PO_11_19	DE_PO_11_19
NA	DE_PO_11_20	DE_PO_11_20	DE_PO_11_20	DE_PO_11_20	DE_PO_11_20
NA	DE_PO_11_21	DE_PO_11_21	DE_PO_11_21	DE_PO_11_21	DE_PO_11_21
NA	DE_PO_11_22	DE_PO_11_22	DE_PO_11_22	DE_PO_11_22	DE_PO_11_22
NA	DE_PO_11_23	DE_PO_11_23	DE_PO_11_23	DE_PO_11_23	DE_PO_11_23
NA	DE_PO_11_24	DE_PO_11_24	DE_PO_11_24	DE_PO_11_24	DE_PO_11_24
NA	DE_PO_11_25	DE_PO_11_25	DE_PO_11_25	DE_PO_11_25	DE_PO_11_25
NA	ES_PO_01_02	ES_PO_01_02	ES_PO_01_02	ES_PO_01_02	ES_PO_01_02
NA	ES_PO_01_03	ES_PO_01_03	ES_PO_01_03	ES_PO_01_03	ES_PO_01_03
NA	ES_PO_01_06	ES_PO_01_06	ES_PO_01_06	ES_PO_01_06	ES_PO_01_06
NA	ES_PO_01_08	ES_PO_01_08	ES_PO_01_08	ES_PO_01_08	ES_PO_01_08
NA	ES_PO_01_09	ES_PO_01_09	NA	NA	NA
NA	ES_PO_01_10	ES_PO_01_10	NA	NA	NA
NA	ES_PO_01_11	ES_PO_01_11	NA	NA	NA
NA	ES_PO_01_12	ES_PO_01_12	NA	NA	NA
NA	ES_PO_01_14	ES_PO_01_14	ES_PO_01_14	ES_PO_01_14	ES_PO_01_14
NA	ES_PO_01_15	ES_PO_01_15	NA	NA	NA
NA	ES_PO_01_16	ES_PO_01_16	NA	NA	NA
NA	ES_PO_01_17	ES_PO_01_17	NA	NA	NA
NA	ES_PO_01_19	ES_PO_01_19	NA	NA	NA
NA	ES_PO_01_21	ES_PO_01_21	NA	NA	NA
NA	ES_PO_01_22	ES_PO_01_22	NA	NA	NA
NA	ES_PO_01_23	ES_PO_01_23	NA	NA	NA
NA	ES_PO_01_24	ES_PO_01_24	NA	NA	NA
NA	ES_PO_01_25	ES_PO_01_25	NA	NA	NA
NA	ES_PO_02_01	ES_PO_02_01	ES_PO_02_01	ES_PO_02_01	ES_PO_02_01
NA	ES_PO_02_02	ES_PO_02_02	ES_PO_02_02	ES_PO_02_02	ES_PO_02_02
NA	ES_PO_02_03	ES_PO_02_03	ES_PO_02_03	ES_PO_02_03	ES_PO_02_03
NA	ES_PO_02_04	ES_PO_02_04	ES_PO_02_04	ES_PO_02_04	ES_PO_02_04
NA	ES_PO_02_06	ES_PO_02_06	ES_PO_02_06	ES_PO_02_06	ES_PO_02_06
NA	ES_PO_02_07	ES_PO_02_07	ES_PO_02_07	ES_PO_02_07	ES_PO_02_07
NA	ES_PO_02_08	ES_PO_02_08	ES_PO_02_08	ES_PO_02_08	ES_PO_02_08
NA	ES_PO_02_09	ES_PO_02_09	ES_PO_02_09	ES_PO_02_09	ES_PO_02_09
NA	ES_PO_02_10	ES_PO_02_10	ES_PO_02_10	ES_PO_02_10	ES_PO_02_10
NA	ES_PO_02_11	ES_PO_02_11	ES_PO_02_11	ES_PO_02_11	NA
NA	ES_PO_02_12	ES_PO_02_12	ES_PO_02_12	ES_PO_02_12	ES_PO_02_12
NA	ES_PO_02_13	ES_PO_02_13	ES_PO_02_13	ES_PO_02_13	ES_PO_02_13
NA	ES_PO_02_14	ES_PO_02_14	ES_PO_02_14	ES_PO_02_14	ES_PO_02_14
NA	ES_PO_02_16	ES_PO_02_16	ES_PO_02_16	ES_PO_02_16	ES_PO_02_16
NA	ES_PO_02_17	ES_PO_02_17	ES_PO_02_17	ES_PO_02_17	ES_PO_02_17
