fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	29466_ID656_ES-BP-02-22_mapped_initial_q10_FM_clean_markdup.g	ES-BP-02-22	ES-BP-02-22	ES_BP_02_22	ES_BP_02_22
NA	29467_ID656_SE-BP-17-17_mapped_initial_q10_FM_clean_markdup.g	SE-BP-17-17	SE-BP-17-17	SE_BP_17_17	SE_BP_17_17
NA	29468_ID656_SE-BP-18-07_mapped_initial_q10_FM_clean_markdup.g	SE-BP-18-07	SE-BP-18-07	SE_BP_18_07	SE_BP_18_07
NA	29469_ID656_DE-BP-09-05_mapped_initial_q10_FM_clean_markdup.g	DE-BP-09-05	DE-BP-09-05	DE_BP_09_05	DE_BP_09_05
NA	29470_ID656_IT-BP-08-06_mapped_initial_q10_FM_clean_markdup.g	IT-BP-08-06	IT-BP-08-06	IT_BP_08_06	IT_BP_08_06
NA	29471_ID656_LT-BP-12-13_mapped_initial_q10_FM_clean_markdup.g	LT-BP-12-13	LT-BP-12-13	LT_BP_12_13	LT_BP_12_13
NA	29472_ID656_FR-BP-21-22_mapped_initial_q10_FM_clean_markdup.g	FR-BP-21-22	FR-BP-21-22	FR_BP_21_22	FR_BP_21_22
NA	29473_ID656_SE-BP-17-02_mapped_initial_q10_FM_clean_markdup.g	SE-BP-17-02	SE-BP-17-02	SE_BP_17_02	SE_BP_17_02
NA	29474_ID656_SE-BP-18-19_mapped_initial_q10_FM_clean_markdup.g	SE-BP-18-19	SE-BP-18-19	SE_BP_18_19	SE_BP_18_19
NA	29475_ID656_ES-BP-01-06_mapped_initial_q10_FM_clean_markdup.g	ES-BP-01-06	NA	NA	NA
NA	29476_ID656_GB-BP-13-06_mapped_initial_q10_FM_clean_markdup.g	GB-BP-13-06	GB-BP-13-06	GB_BP_13_06	GB_BP_13_06
NA	29477_ID656_NO-BP-16-10_mapped_initial_q10_FM_clean_markdup.g	NO-BP-16-10	NO-BP-16-10	NO_BP_16_10	NO_BP_16_10
NA	29478_ID656_GB-BP-13-11_mapped_initial_q10_FM_clean_markdup.g	GB-BP-13-11	GB-BP-13-11	GB_BP_13_11	GB_BP_13_11
NA	29479_ID656_FR-BP-04-25_mapped_initial_q10_FM_clean_markdup.g	FR-BP-04-25	FR-BP-04-25	FR_BP_04_25	FR_BP_04_25
NA	29480_ID656_FR-BP-03-08_mapped_initial_q10_FM_clean_markdup.g	FR-BP-03-08	FR-BP-03-08	FR_BP_03_08	FR_BP_03_08
NA	29481_ID656_GB-BP-14-20_mapped_initial_q10_FM_clean_markdup.g	GB-BP-14-20	GB-BP-14-20	GB_BP_14_20	GB_BP_14_20
NA	29482_ID656_FI-BP-20-14_mapped_initial_q10_FM_clean_markdup.g	FI-BP-20-14	FI-BP-20-14	FI_BP_20_14	FI_BP_20_14
NA	29483_ID656_NO-BP-15-17_mapped_initial_q10_FM_clean_markdup.g	NO-BP-15-17	NA	NA	NA
NA	29484_ID656_CH-BP-06-25_mapped_initial_q10_FM_clean_markdup.g	CH-BP-06-25	CH-BP-06-25	CH_BP_06_25	CH_BP_06_25
NA	29485_ID656_LT-BP-12-09_mapped_initial_q10_FM_clean_markdup.g	LT-BP-12-09	LT-BP-12-09	LT_BP_12_09	LT_BP_12_09
NA	29486_ID656_GB-BP-14-07_mapped_initial_q10_FM_clean_markdup.g	GB-BP-14-07	GB-BP-14-07	GB_BP_14_07	GB_BP_14_07
NA	29487_ID656_IT-BP-08-12_mapped_initial_q10_FM_clean_markdup.g	IT-BP-08-12	IT-BP-08-12	IT_BP_08_12	IT_BP_08_12
NA	29488_ID656_DE-BP-10-17_mapped_initial_q10_FM_clean_markdup.g	DE-BP-10-17	DE-BP-10-17	DE_BP_10_17	DE_BP_10_17
NA	29489_ID656_FI-BP-20-16_mapped_initial_q10_FM_clean_markdup.g	FI-BP-20-16	FI-BP-20-16	FI_BP_20_16	FI_BP_20_16
NA	29490_ID656_CH-BP-06-19_mapped_initial_q10_FM_clean_markdup.g	CH-BP-06-19	CH-BP-06-19	CH_BP_06_19	CH_BP_06_19
NA	29491_ID656_GB-BP-14-09_mapped_initial_q10_FM_clean_markdup.g	GB-BP-14-09	GB-BP-14-09	GB_BP_14_09	GB_BP_14_09
NA	29492_ID656_IT-BP-07-07_mapped_initial_q10_FM_clean_markdup.g	IT-BP-07-07	NA	NA	NA
NA	29493_ID656_FR-BP-04-18_mapped_initial_q10_FM_clean_markdup.g	FR-BP-04-18	FR-BP-04-18	FR_BP_04_18	FR_BP_04_18
NA	29494_ID656_FR-BP-04-13_mapped_initial_q10_FM_clean_markdup.g	FR-BP-04-13	FR-BP-04-13	FR_BP_04_13	FR_BP_04_13
NA	29495_ID656_DE-BP-10-08_mapped_initial_q10_FM_clean_markdup.g	DE-BP-10-08	DE-BP-10-08	DE_BP_10_08	DE_BP_10_08
NA	29496_ID656_CH-BP-06-09_mapped_initial_q10_FM_clean_markdup.g	CH-BP-06-09	CH-BP-06-09	CH_BP_06_09	CH_BP_06_09
NA	29497_ID656_FR-BP-21-19_mapped_initial_q10_FM_clean_markdup.g	FR-BP-21-19	FR-BP-21-19	FR_BP_21_19	FR_BP_21_19
NA	29498_ID656_ES-BP-01-02_mapped_initial_q10_FM_clean_markdup.g	ES-BP-01-02	NA	NA	NA
NA	29499_ID656_SE-BP-18-11_mapped_initial_q10_FM_clean_markdup.g	SE-BP-18-11	SE-BP-18-11	SE_BP_18_11	SE_BP_18_11
NA	29500_ID656_SE-BP-17-06_mapped_initial_q10_FM_clean_markdup.g	SE-BP-17-06	SE-BP-17-06	SE_BP_17_06	SE_BP_17_06
NA	29501_ID656_FI-BP-19-20_mapped_initial_q10_FM_clean_markdup.g	FI-BP-19-20	FI-BP-19-20	FI_BP_19_20	FI_BP_19_20
NA	29502_ID656_YT-1491_mapped_initial_q10_FM_clean_markdup.g	YT-1491	NA	NA	NA
NA	29503_ID656_SE-BP-17-23_mapped_initial_q10_FM_clean_markdup.g	SE-BP-17-23	SE-BP-17-23	SE_BP_17_23	SE_BP_17_23
NA	29504_ID656_LT-BP-11-18_mapped_initial_q10_FM_clean_markdup.g	LT-BP-11-18	LT-BP-11-18	LT_BP_11_18	LT_BP_11_18
NA	29510_ID656_LT-BP-11-06_mapped_initial_q10_FM_clean_markdup.g	LT-BP-11-06	LT-BP-11-06	LT_BP_11_06	LT_BP_11_06
NA	29511_ID656_GB-BP-13-16_mapped_initial_q10_FM_clean_markdup.g	GB-BP-13-16	GB-BP-13-16	GB_BP_13_16	GB_BP_13_16
NA	29512_ID656_FR-BP-21-06_mapped_initial_q10_FM_clean_markdup.g	FR-BP-21-06	NA	NA	NA
NA	29513_ID656_CH-BP-06-16_mapped_initial_q10_FM_clean_markdup.g	CH-BP-06-16	CH-BP-06-16	CH_BP_06_16	CH_BP_06_16
NA	29514_ID656_ES-BP-02-18_mapped_initial_q10_FM_clean_markdup.g	ES-BP-02-18	ES-BP-02-18	ES_BP_02_18	ES_BP_02_18
NA	29515_ID656_GB-BP-13-20_mapped_initial_q10_FM_clean_markdup.g	GB-BP-13-20	GB-BP-13-20	GB_BP_13_20	GB_BP_13_20
NA	29516_ID656_FI-BP-19-21_mapped_initial_q10_FM_clean_markdup.g	FI-BP-19-21	FI-BP-19-21	FI_BP_19_21	FI_BP_19_21
NA	29517_ID656_CH-BP-06-24_mapped_initial_q10_FM_clean_markdup.g	CH-BP-06-24	CH-BP-06-24	CH_BP_06_24	CH_BP_06_24
NA	29518_ID656_NO-BP-15-19_mapped_initial_q10_FM_clean_markdup.g	NO-BP-15-19	NO-BP-15-19	NO_BP_15_19	NO_BP_15_19
NA	29519_ID656_YT-284_mapped_initial_q10_FM_clean_markdup.g	YT-284	YT-284	RU_BP_24_10	RU_BP_24_10
NA	29520_ID656_FR-BP-03-10_mapped_initial_q10_FM_clean_markdup.g	FR-BP-03-10	FR-BP-03-10	FR_BP_03_10	FR_BP_03_10
NA	29521_ID656_YT-1490_mapped_initial_q10_FM_clean_markdup.g	YT-1490	NA	NA	NA
NA	29522_ID656_IT-BP-08-21_mapped_initial_q10_FM_clean_markdup.g	IT-BP-08-21	IT-BP-08-21	IT_BP_08_21	IT_BP_08_21
NA	29523_ID656_SE-BP-18-21_mapped_initial_q10_FM_clean_markdup.g	SE-BP-18-21	SE-BP-18-21	SE_BP_18_21	SE_BP_18_21
NA	29524_ID656_LT-BP-11-07_mapped_initial_q10_FM_clean_markdup.g	LT-BP-11-07	LT-BP-11-07	LT_BP_11_07	LT_BP_11_07
NA	29525_ID656_FR-BP-04-07_mapped_initial_q10_FM_clean_markdup.g	FR-BP-04-07	FR-BP-04-07	FR_BP_04_07	FR_BP_04_07
NA	29526_ID656_CH-BP-05-14_mapped_initial_q10_FM_clean_markdup.g	CH-BP-05-14	CH-BP-05-14	CH_BP_05_14	CH_BP_05_14
NA	29527_ID656_FR-BP-04-05_mapped_initial_q10_FM_clean_markdup.g	FR-BP-04-05	NA	NA	NA
NA	29528_ID656_FR-BP-21-02_mapped_initial_q10_FM_clean_markdup.g	FR-BP-21-02	FR-BP-21-02	FR_BP_21_02	FR_BP_21_02
NA	29529_ID656_YT-867_mapped_initial_q10_FM_clean_markdup.g	YT-867	YT-867	RU_BP_25_05	RU_BP_25_05
NA	29530_ID656_SE-BP-17-24_mapped_initial_q10_FM_clean_markdup.g	SE-BP-17-24	SE-BP-17-24	SE_BP_17_24	SE_BP_17_24
NA	29531_ID656_FR-BP-03-11_mapped_initial_q10_FM_clean_markdup.g	FR-BP-03-11	NA	NA	NA
NA	29532_ID656_ES-BP-01-23_mapped_initial_q10_FM_clean_markdup.g	ES-BP-01-23	NA	NA	NA
NA	29533_ID656_IT-BP-07-13_mapped_initial_q10_FM_clean_markdup.g	IT-BP-07-13	IT-BP-07-13	IT_BP_07_13	IT_BP_07_13
NA	29534_ID656_CH-BP-05-06_mapped_initial_q10_FM_clean_markdup.g	CH-BP-05-06	CH-BP-05-06	CH_BP_05_06	CH_BP_05_06
NA	29535_ID656_SE-BP-17-08_mapped_initial_q10_FM_clean_markdup.g	SE-BP-17-08	SE-BP-17-08	SE_BP_17_08	SE_BP_17_08
NA	29536_ID656_DE-BP-09-15_mapped_initial_q10_FM_clean_markdup.g	DE-BP-09-15	DE-BP-09-15	DE_BP_09_15	DE_BP_09_15
NA	29537_ID656_FR-BP-03-14_mapped_initial_q10_FM_clean_markdup.g	FR-BP-03-14	FR-BP-03-14	FR_BP_03_14	FR_BP_03_14
NA	29538_ID656_NO-BP-16-22_mapped_initial_q10_FM_clean_markdup.g	NO-BP-16-22	NO-BP-16-22	NO_BP_16_22	NO_BP_16_22
NA	29539_ID656_FI-BP-19-10_mapped_initial_q10_FM_clean_markdup.g	FI-BP-19-10	FI-BP-19-10	FI_BP_19_10	FI_BP_19_10
NA	29540_ID656_FI-BP-20-13_mapped_initial_q10_FM_clean_markdup.g	FI-BP-20-13	FI-BP-20-13	FI_BP_20_13	FI_BP_20_13
NA	29541_ID656_FR-BP-03-12_mapped_initial_q10_FM_clean_markdup.g	FR-BP-03-12	FR-BP-03-12	FR_BP_03_12	FR_BP_03_12
NA	29542_ID656_CH-BP-06-14_mapped_initial_q10_FM_clean_markdup.g	CH-BP-06-14	CH-BP-06-14	CH_BP_06_14	CH_BP_06_14
NA	29543_ID656_FR-BP-04-16_mapped_initial_q10_FM_clean_markdup.g	FR-BP-04-16	FR-BP-04-16	FR_BP_04_16	FR_BP_04_16
NA	29544_ID656_SE-BP-17-18_mapped_initial_q10_FM_clean_markdup.g	SE-BP-17-18	SE-BP-17-18	SE_BP_17_18	SE_BP_17_18
NA	29545_ID656_FI-BP-20-09_mapped_initial_q10_FM_clean_markdup.g	FI-BP-20-09	FI-BP-20-09	FI_BP_20_09	FI_BP_20_09
NA	29546_ID656_IT-BP-07-05_mapped_initial_q10_FM_clean_markdup.g	IT-BP-07-05	IT-BP-07-05	IT_BP_07_05	IT_BP_07_05
NA	29547_ID656_IT-BP-07-14_mapped_initial_q10_FM_clean_markdup.g	IT-BP-07-14	IT-BP-07-14	IT_BP_07_14	IT_BP_07_14
NA	29548_ID656_FI-BP-19-13_mapped_initial_q10_FM_clean_markdup.g	FI-BP-19-13	FI-BP-19-13	FI_BP_19_13	FI_BP_19_13
NA	29549_ID656_SE-BP-18-17_mapped_initial_q10_FM_clean_markdup.g	SE-BP-18-17	SE-BP-18-17	SE_BP_18_17	SE_BP_18_17
