fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	38016	DE_QP_18_16	DE_QP_18_16	DE_QP_18_16	DE_QP_18_16
NA	38017	DE_QP_18_17	DE_QP_18_17	DE_QP_18_17	DE_QP_18_17
NA	38018	DE_QP_18_18	DE_QP_18_18	DE_QP_18_18	DE_QP_18_18
NA	38019	DE_QP_18_19	DE_QP_18_19	DE_QP_18_19	DE_QP_18_19
NA	38020	DE_QP_18_20	DE_QP_18_20	DE_QP_18_20	DE_QP_18_20
NA	38021	DE_QP_18_21	DE_QP_18_21	DE_QP_18_21	DE_QP_18_21
NA	38022	DE_QP_18_22	DE_QP_18_22	DE_QP_18_22	DE_QP_18_22
NA	38023	DE_QP_18_23	NA	NA	NA
NA	38024	DE_QP_18_24	DE_QP_18_24	DE_QP_18_24	DE_QP_18_24
NA	38025	DE_QP_18_25	DE_QP_18_25	DE_QP_18_25	DE_QP_18_25
NA	38101	PO_QP_19_07	PO_QP_19_07	PL_QP_19_07	PL_QP_19_07
NA	38102	PO_QP_19_08	PO_QP_19_08	PL_QP_19_08	PL_QP_19_08
NA	38103	PO_QP_19_09	PO_QP_19_09	PL_QP_19_09	PL_QP_19_09
NA	38104	PO_QP_19_10	PO_QP_19_10	PL_QP_19_10	PL_QP_19_10
NA	38105	PO_QP_19_11	PO_QP_19_11	PL_QP_19_11	PL_QP_19_11
NA	38106	PO_QP_19_12	PO_QP_19_12	PL_QP_19_12	PL_QP_19_12
NA	38107	PO_QP_19_13	PO_QP_19_13	PL_QP_19_13	PL_QP_19_13
NA	38108	SE_QP_15_15	SE_QP_15_15	SE_QP_15_15	SE_QP_15_15
NA	38109	SE_QP_15_16	SE_QP_15_16	SE_QP_15_16	SE_QP_15_16
NA	38110	SE_QP_15_17	SE_QP_15_17	SE_QP_15_17	SE_QP_15_17
NA	38111	SE_QP_15_18	SE_QP_15_18	SE_QP_15_18	SE_QP_15_18
NA	38112	SE_QP_15_19	SE_QP_15_19	SE_QP_15_19	SE_QP_15_19
NA	38113	SE_QP_15_20	SE_QP_15_20	SE_QP_15_20	SE_QP_15_20
NA	38114	SE_QP_15_21	SE_QP_15_21	SE_QP_15_21	SE_QP_15_21
NA	38115	SE_QP_15_22	SE_QP_15_22	SE_QP_15_22	SE_QP_15_22
NA	38123	PO_QP_19_14	PO_QP_19_14	PL_QP_19_14	PL_QP_19_14
NA	38124	PO_QP_19_15	PO_QP_19_15	PL_QP_19_15	PL_QP_19_15
NA	38125	PO_QP_19_16	PO_QP_19_16	PL_QP_19_16	PL_QP_19_16
NA	38126	PO_QP_19_17	PO_QP_19_17	PL_QP_19_17	PL_QP_19_17
NA	38127	PO_QP_19_18	PO_QP_19_18	PL_QP_19_18	PL_QP_19_18
NA	38128	PO_QP_19_19	PO_QP_19_19	PL_QP_19_19	PL_QP_19_19
NA	38129	PO_QP_19_20	PO_QP_19_20	PL_QP_19_20	PL_QP_19_20
NA	38130	PO_QP_19_21	PO_QP_19_21	PL_QP_19_21	PL_QP_19_21
NA	38131	PO_QP_19_22	PO_QP_19_22	PL_QP_19_22	PL_QP_19_22
NA	38132	PO_QP_19_23	PO_QP_19_23	PL_QP_19_23	PL_QP_19_23
NA	38133	PO_QP_19_24	PO_QP_19_24	PL_QP_19_24	PL_QP_19_24
NA	38134	PO_QP_19_25	PO_QP_19_25	PL_QP_19_25	NA
NA	38135	LT_QP_20_01	LT_QP_20_01	LT_QP_20_01	LT_QP_20_01
NA	38136	LT_QP_20_02	LT_QP_20_02	LT_QP_20_02	LT_QP_20_02
NA	38137	LT_QP_20_03	LT_QP_20_03	LT_QP_20_03	LT_QP_20_03
NA	38138	LT_QP_20_04	LT_QP_20_04	LT_QP_20_04	LT_QP_20_04
NA	38139	LT_QP_20_05	LT_QP_20_05	LT_QP_20_05	LT_QP_20_05
NA	38140	LT_QP_20_06	LT_QP_20_06	LT_QP_20_06	LT_QP_20_06
NA	38141	LT_QP_20_07	LT_QP_20_07	LT_QP_20_07	LT_QP_20_07
NA	38142	LT_QP_20_08	LT_QP_20_08	LT_QP_20_08	LT_QP_20_08
NA	38143	LT_QP_20_09	LT_QP_20_09	LT_QP_20_09	LT_QP_20_09
NA	38144	LT_QP_20_10	LT_QP_20_10	LT_QP_20_10	LT_QP_20_10
NA	38145	LT_QP_20_11	LT_QP_20_11	LT_QP_20_11	LT_QP_20_11
NA	38146	LT_QP_20_12	LT_QP_20_12	LT_QP_20_12	LT_QP_20_12
NA	38147	LT_QP_20_13	LT_QP_20_13	LT_QP_20_13	LT_QP_20_13
NA	38148	LT_QP_20_14	LT_QP_20_14	LT_QP_20_14	LT_QP_20_14
NA	38149	LT_QP_20_15	LT_QP_20_15	LT_QP_20_15	LT_QP_20_15
NA	38150	LT_QP_20_16	LT_QP_20_16	LT_QP_20_16	LT_QP_20_16
NA	38151	LT_QP_20_17	LT_QP_20_17	LT_QP_20_17	LT_QP_20_17
NA	38152	LT_QP_20_18	LT_QP_20_18	LT_QP_20_18	LT_QP_20_18
NA	38153	LT_QP_20_19	LT_QP_20_19	LT_QP_20_19	LT_QP_20_19
NA	38154	LT_QP_20_20	LT_QP_20_20	LT_QP_20_20	LT_QP_20_20
NA	38155	LT_QP_20_21	LT_QP_20_21	LT_QP_20_21	LT_QP_20_21
NA	38156	LT_QP_20_22	LT_QP_20_22	LT_QP_20_22	LT_QP_20_22
NA	38157	LT_QP_20_23	LT_QP_20_23	LT_QP_20_23	LT_QP_20_23
NA	38158	LT_QP_20_24	LT_QP_20_24	LT_QP_20_24	LT_QP_20_24
NA	38159	LT_QP_20_25	LT_QP_20_25	LT_QP_20_25	LT_QP_20_25
NA	38160	ES_QP_01_01	ES_QP_01_01	ES_QP_01_01	ES_QP_01_01
NA	38161	ES_QP_01_02	ES_QP_01_02	ES_QP_01_02	ES_QP_01_02
NA	38162	ES_QP_01_03	ES_QP_01_03	ES_QP_01_03	ES_QP_01_03
NA	38163	ES_QP_01_04	ES_QP_01_04	ES_QP_01_04	ES_QP_01_04
NA	38164	ES_QP_01_05	ES_QP_01_05	ES_QP_01_05	ES_QP_01_05
NA	38165	ES_QP_01_06	ES_QP_01_06	ES_QP_01_06	ES_QP_01_06
NA	38166	ES_QP_01_07	ES_QP_01_07	ES_QP_01_07	ES_QP_01_07
NA	38167	ES_QP_01_08	ES_QP_01_08	ES_QP_01_08	ES_QP_01_08
NA	38168	ES_QP_01_09	ES_QP_01_09	ES_QP_01_09	ES_QP_01_09
NA	38169	ES_QP_01_10	ES_QP_01_10	ES_QP_01_10	ES_QP_01_10
NA	38170	ES_QP_01_11	ES_QP_01_11	ES_QP_01_11	ES_QP_01_11
NA	38171	ES_QP_01_12	ES_QP_01_12	ES_QP_01_12	ES_QP_01_12
NA	38172	ES_QP_01_13	ES_QP_01_13	ES_QP_01_13	ES_QP_01_13
NA	38173	ES_QP_01_14	ES_QP_01_14	ES_QP_01_14	NA
NA	38174	ES_QP_01_15	ES_QP_01_15	ES_QP_01_15	ES_QP_01_15
NA	38175	ES_QP_01_16	ES_QP_01_16	ES_QP_01_16	ES_QP_01_16
NA	38176	ES_QP_01_17	ES_QP_01_17	ES_QP_01_17	ES_QP_01_17
NA	38177	ES_QP_01_18	ES_QP_01_18	ES_QP_01_18	NA
NA	38178	ES_QP_01_19	ES_QP_01_19	ES_QP_01_19	ES_QP_01_19
NA	38179	ES_QP_01_20	ES_QP_01_20	ES_QP_01_20	ES_QP_01_20
NA	38180	ES_QP_01_21	ES_QP_01_21	ES_QP_01_21	ES_QP_01_21
NA	38181	ES_QP_01_22	ES_QP_01_22	ES_QP_01_22	NA
NA	38182	ES_QP_01_23	ES_QP_01_23	ES_QP_01_23	ES_QP_01_23
NA	38183	ES_QP_01_24	ES_QP_01_24	ES_QP_01_24	ES_QP_01_24
NA	38184	ES_QP_01_25	ES_QP_01_25	ES_QP_01_25	ES_QP_01_25
NA	38185	ES_QP_02_01	ES_QP_02_01	ES_QP_02_01	ES_QP_02_01
NA	38186	ES_QP_02_02	ES_QP_02_02	ES_QP_02_02	ES_QP_02_02
NA	38187	ES_QP_02_03	ES_QP_02_03	ES_QP_02_03	ES_QP_02_03
NA	38188	ES_QP_02_04	ES_QP_02_04	ES_QP_02_04	ES_QP_02_04
NA	38189	ES_QP_02_05	ES_QP_02_05	ES_QP_02_05	ES_QP_02_05
NA	38190	ES_QP_02_06	ES_QP_02_06	ES_QP_02_06	ES_QP_02_06
NA	38191	ES_QP_02_07	ES_QP_02_07	ES_QP_02_07	ES_QP_02_07
NA	38192	ES_QP_02_08	ES_QP_02_08	ES_QP_02_08	ES_QP_02_08
NA	38193	ES_QP_02_09	ES_QP_02_09	ES_QP_02_09	ES_QP_02_09
NA	38194	ES_QP_02_10	ES_QP_02_10	ES_QP_02_10	ES_QP_02_10
NA	38195	ES_QP_02_11	ES_QP_02_11	ES_QP_02_11	ES_QP_02_11
NA	38196	ES_QP_02_12	ES_QP_02_12	ES_QP_02_12	ES_QP_02_12
NA	38197	ES_QP_02_13	ES_QP_02_13	ES_QP_02_13	ES_QP_02_13
NA	38198	ES_QP_02_14	ES_QP_02_14	ES_QP_02_14	ES_QP_02_14
NA	38199	ES_QP_02_15	ES_QP_02_15	ES_QP_02_15	ES_QP_02_15
NA	38200	ES_QP_02_16	ES_QP_02_16	ES_QP_02_16	ES_QP_02_16
NA	38201	ES_QP_02_17	ES_QP_02_17	ES_QP_02_17	NA
NA	38202	ES_QP_02_18	ES_QP_02_18	ES_QP_02_18	ES_QP_02_18
NA	38203	ES_QP_02_19	ES_QP_02_19	ES_QP_02_19	ES_QP_02_19
NA	38204	ES_QP_02_20	ES_QP_02_20	ES_QP_02_20	ES_QP_02_20
NA	38205	ES_QP_02_21	ES_QP_02_21	ES_QP_02_21	ES_QP_02_21
NA	38206	ES_QP_02_22	ES_QP_02_22	ES_QP_02_22	ES_QP_02_22
NA	38207	ES_QP_02_23	ES_QP_02_23	ES_QP_02_23	ES_QP_02_23
NA	38208	ES_QP_02_24	ES_QP_02_24	ES_QP_02_24	NA
NA	38209	ES_QP_02_25	ES_QP_02_25	ES_QP_02_25	ES_QP_02_25
NA	38210	CH_QP_05_01	CH_QP_05_01	CH_QP_05_01	CH_QP_05_01
NA	38211	CH_QP_05_02	CH_QP_05_02	CH_QP_05_02	CH_QP_05_02
NA	38212	CH_QP_05_03	CH_QP_05_03	CH_QP_05_03	CH_QP_05_03
NA	38213	CH_QP_05_04	CH_QP_05_04	CH_QP_05_04	CH_QP_05_04
NA	38214	CH_QP_05_05	CH_QP_05_05	CH_QP_05_05	CH_QP_05_05
NA	38215	CH_QP_05_06	CH_QP_05_06	CH_QP_05_06	CH_QP_05_06
NA	38216	CH_QP_05_07	CH_QP_05_07	CH_QP_05_07	CH_QP_05_07
NA	38217	CH_QP_05_08	CH_QP_05_08	CH_QP_05_08	NA
NA	38218	CH_QP_05_09	CH_QP_05_09	CH_QP_05_09	CH_QP_05_09
NA	38219	CH_QP_05_10	CH_QP_05_10	CH_QP_05_10	CH_QP_05_10
NA	38220	CH_QP_05_11	CH_QP_05_11	CH_QP_05_11	CH_QP_05_11
NA	38221	CH_QP_05_12	CH_QP_05_12	CH_QP_05_12	CH_QP_05_12
NA	38222	CH_QP_05_13	CH_QP_05_13	CH_QP_05_13	CH_QP_05_13
NA	38223	CH_QP_05_14	CH_QP_05_14	CH_QP_05_14	CH_QP_05_14
NA	38224	CH_QP_05_15	CH_QP_05_15	CH_QP_05_15	CH_QP_05_15
NA	38225	CH_QP_05_16	CH_QP_05_16	CH_QP_05_16	CH_QP_05_16
NA	38226	CH_QP_05_17	CH_QP_05_17	CH_QP_05_17	CH_QP_05_17
NA	38227	CH_QP_05_18	CH_QP_05_18	CH_QP_05_18	CH_QP_05_18
NA	38228	CH_QP_05_19	CH_QP_05_19	CH_QP_05_19	CH_QP_05_19
NA	38229	CH_QP_05_20	CH_QP_05_20	CH_QP_05_20	NA
NA	38230	CH_QP_05_21	CH_QP_05_21	CH_QP_05_21	CH_QP_05_21
NA	38231	CH_QP_05_22	CH_QP_05_22	CH_QP_05_22	CH_QP_05_22
NA	38232	CH_QP_05_23	CH_QP_05_23	CH_QP_05_23	CH_QP_05_23
NA	38233	CH_QP_05_24	CH_QP_05_24	CH_QP_05_24	CH_QP_05_24
NA	38234	CH_QP_05_25	CH_QP_05_25	CH_QP_05_25	NA
NA	38235	CH_QP_06_01	CH_QP_06_01	CH_QP_06_01	CH_QP_06_01
NA	38236	CH_QP_06_02	CH_QP_06_02	CH_QP_06_02	CH_QP_06_02
NA	38237	CH_QP_06_03	CH_QP_06_03	CH_QP_06_03	CH_QP_06_03
NA	38238	CH_QP_06_04	CH_QP_06_04	CH_QP_06_04	CH_QP_06_04
NA	38239	CH_QP_06_05	CH_QP_06_05	CH_QP_06_05	CH_QP_06_05
NA	38240	CH_QP_06_06	CH_QP_06_06	CH_QP_06_06	CH_QP_06_06
NA	38241	CH_QP_06_07	CH_QP_06_07	CH_QP_06_07	NA
NA	38242	CH_QP_06_08	CH_QP_06_08	CH_QP_06_08	CH_QP_06_08
NA	38243	CH_QP_06_09	CH_QP_06_09	CH_QP_06_09	CH_QP_06_09
NA	38244	CH_QP_06_10	CH_QP_06_10	CH_QP_06_10	CH_QP_06_10
NA	38245	CH_QP_06_11	CH_QP_06_11	CH_QP_06_11	NA
NA	38246	CH_QP_06_12	CH_QP_06_12	CH_QP_06_12	CH_QP_06_12
NA	38247	CH_QP_06_13	CH_QP_06_13	CH_QP_06_13	CH_QP_06_13
NA	38248	CH_QP_06_14	CH_QP_06_14	CH_QP_06_14	CH_QP_06_14
NA	38249	CH_QP_06_15	CH_QP_06_15	CH_QP_06_15	CH_QP_06_15
NA	38250	CH_QP_06_16	CH_QP_06_16	CH_QP_06_16	CH_QP_06_16
NA	38251	CH_QP_06_17	CH_QP_06_17	CH_QP_06_17	CH_QP_06_17
NA	38252	CH_QP_06_19	CH_QP_06_19	CH_QP_06_19	CH_QP_06_19
NA	38253	CH_QP_06_20	CH_QP_06_20	CH_QP_06_20	CH_QP_06_20
NA	38254	CH_QP_06_21	CH_QP_06_21	CH_QP_06_21	CH_QP_06_21
NA	38255	CH_QP_06_22	CH_QP_06_22	CH_QP_06_22	CH_QP_06_22
NA	38256	CH_QP_06_23	CH_QP_06_23	CH_QP_06_23	CH_QP_06_23
NA	38257	CH_QP_06_24	CH_QP_06_24	CH_QP_06_24	CH_QP_06_24
NA	38258	CH_QP_06_25	CH_QP_06_25	CH_QP_06_25	CH_QP_06_25
NA	38259	CH_QP_06_26	CH_QP_06_26	CH_QP_06_26	CH_QP_06_26
NA	38260	IT_QP_07_01	IT_QP_07_01	IT_QP_07_01	IT_QP_07_01
NA	38261	IT_QP_07_02	IT_QP_07_02	IT_QP_07_02	IT_QP_07_02
NA	38262	IT_QP_07_03	IT_QP_07_03	IT_QP_07_03	IT_QP_07_03
NA	38263	IT_QP_07_04	IT_QP_07_04	IT_QP_07_04	IT_QP_07_04
