fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	RU_PA_20_11	RU_PA_20_11	RU_PA_20_11	RU_PA_20_11	RU_PA_20_11
NA	RU_PA_20_12	RU_PA_20_12	RU_PA_20_12	RU_PA_20_12	NA
NA	RU_PA_20_13	RU_PA_20_13	RU_PA_20_13	RU_PA_20_13	RU_PA_20_13
NA	RU_PA_20_14	RU_PA_20_14	RU_PA_20_14	RU_PA_20_14	RU_PA_20_14
NA	RU_PA_20_15	RU_PA_20_15	RU_PA_20_15	RU_PA_20_15	RU_PA_20_15
NA	RU_PA_20_16	RU_PA_20_16	RU_PA_20_16	RU_PA_20_16	RU_PA_20_16
NA	RU_PA_20_17	RU_PA_20_17	RU_PA_20_17	RU_PA_20_17	RU_PA_20_17
NA	RU_PA_20_18	RU_PA_20_18	RU_PA_20_18	RU_PA_20_18	RU_PA_20_18
NA	RU_PA_20_19	RU_PA_20_19	RU_PA_20_19	RU_PA_20_19	RU_PA_20_19
NA	RU_PA_20_20	RU_PA_20_20	RU_PA_20_20	RU_PA_20_20	RU_PA_20_20
NA	RU_PA_20_21	RU_PA_20_21	RU_PA_20_21	RU_PA_20_21	RU_PA_20_21
NA	RU_PA_20_22	RU_PA_20_22	RU_PA_20_22	RU_PA_20_22	RU_PA_20_22
NA	RU_PA_20_23	RU_PA_20_23	RU_PA_20_23	RU_PA_20_23	RU_PA_20_23
NA	RU_PA_20_24	RU_PA_20_24	RU_PA_20_24	RU_PA_20_24	RU_PA_20_24
NA	RU_PA_20_25	RU_PA_20_25	RU_PA_20_25	RU_PA_20_25	RU_PA_20_25
NA	RU_PA_26_01	RU_PA_26_01	RU_PA_26_01	RU_PA_26_01	RU_PA_26_01
NA	RU_PA_26_02	RU_PA_26_02	RU_PA_26_02	RU_PA_26_02	RU_PA_26_02
NA	RU_PA_26_03	RU_PA_26_03	RU_PA_26_03	RU_PA_26_03	RU_PA_26_03
NA	RU_PA_26_04	RU_PA_26_04	RU_PA_26_04	RU_PA_26_04	RU_PA_26_04
NA	RU_PA_26_06	RU_PA_26_06	RU_PA_26_06	RU_PA_26_06	NA
NA	RU_PA_26_07	RU_PA_26_07	RU_PA_26_07	RU_PA_26_07	RU_PA_26_07
NA	RU_PA_26_08	RU_PA_26_08	RU_PA_26_08	RU_PA_26_08	RU_PA_26_08
NA	RU_PA_26_09	RU_PA_26_09	RU_PA_26_09	RU_PA_26_09	RU_PA_26_09
NA	RU_PA_26_10	RU_PA_26_10	RU_PA_26_10	RU_PA_26_10	NA
NA	RU_PA_26_11	RU_PA_26_11	RU_PA_26_11	RU_PA_26_11	NA
NA	SE_PA_15_01	SE_PA_15_01	SE_PA_15_01	SE_PA_15_01	SE_PA_15_01
NA	SE_PA_15_02	SE_PA_15_02	SE_PA_15_02	SE_PA_15_02	SE_PA_15_02
NA	SE_PA_15_03	SE_PA_15_03	SE_PA_15_03	SE_PA_15_03	SE_PA_15_03
NA	SE_PA_15_04	SE_PA_15_04	SE_PA_15_04	SE_PA_15_04	SE_PA_15_04
NA	SE_PA_15_05	SE_PA_15_05	SE_PA_15_05	SE_PA_15_05	SE_PA_15_05
NA	SE_PA_15_06	SE_PA_15_06	SE_PA_15_06	SE_PA_15_06	SE_PA_15_06
NA	SE_PA_15_07	SE_PA_15_07	SE_PA_15_07	SE_PA_15_07	SE_PA_15_07
NA	SE_PA_15_08	SE_PA_15_08	SE_PA_15_08	SE_PA_15_08	SE_PA_15_08
NA	SE_PA_15_09	SE_PA_15_09	SE_PA_15_09	SE_PA_15_09	SE_PA_15_09
NA	SE_PA_15_10	SE_PA_15_10	SE_PA_15_10	SE_PA_15_10	SE_PA_15_10
NA	SE_PA_15_11	SE_PA_15_11	SE_PA_15_11	SE_PA_15_11	SE_PA_15_11
NA	SE_PA_15_12	SE_PA_15_12	SE_PA_15_12	SE_PA_15_12	SE_PA_15_12
NA	SE_PA_15_13	SE_PA_15_13	SE_PA_15_13	SE_PA_15_13	SE_PA_15_13
NA	SE_PA_15_14	SE_PA_15_14	SE_PA_15_14	SE_PA_15_14	SE_PA_15_14
NA	SE_PA_15_15	SE_PA_15_15	SE_PA_15_15	SE_PA_15_15	SE_PA_15_15
NA	SE_PA_15_16	SE_PA_15_16	SE_PA_15_16	SE_PA_15_16	SE_PA_15_16
NA	SE_PA_15_17	SE_PA_15_17	SE_PA_15_17	SE_PA_15_17	SE_PA_15_17
NA	SE_PA_15_18	SE_PA_15_18	SE_PA_15_18	SE_PA_15_18	NA
